valid,epoch,epoch_utc,lat_deg,lon_deg,alt_m,air_temp_degC,humdity_percent,humidity_sensor_temp_degC,pres_mb,module_error,rs41_rh_percent,wv_mixing_ratio_ppmv
[bool],[epoch],[iso8601],[deg],[deg],[m],[C],[%],[C],[mb],[#],[%],[ppmv]
True,1786654004,2026-08-13T20:46:44Z,40.00,-105.00,1620.30,24.8000,30.8000,29.8800,767.3600,0,41.4743,17221.0941
True,1786654005,2026-08-13T20:46:45Z,,,,24.7900,30.8000,29.8800,767.4000,0,41.4990,17220.1810
True,1786654006,2026-08-13T20:46:46Z,,,,24.7900,30.8100,29.8800,767.4600,0,41.5125,17224.4984
True,1786654007,2026-08-13T20:46:47Z,,,,24.7900,30.7900,29.8800,767.4600,0,41.4856,17213.1248
True,1786654008,2026-08-13T20:46:48Z,,,,24.8000,30.8200,29.8900,767.4600,0,41.5250,17240.2588
True,1786654009,2026-08-13T20:46:49Z,,,,24.7900,30.7900,29.8800,767.4400,0,41.4856,17213.5811
True,1786654010,2026-08-13T20:46:50Z,,,,24.7900,30.8000,29.8800,767.2800,0,41.4990,17222.9206
True,1786654011,2026-08-13T20:46:51Z,,,,24.7900,30.8000,29.8900,767.4000,0,41.5229,17230.2486
True,1786654012,2026-08-13T20:46:52Z,,,,24.7900,30.8000,29.8800,767.5200,0,41.4990,17217.4423
True,1786654013,2026-08-13T20:46:53Z,,,,24.7900,30.8000,29.8800,767.4000,0,41.4990,17220.1810
True,1786654014,2026-08-13T20:46:54Z,,,,24.7900,30.8100,29.8700,767.5200,0,41.4887,17213.0646
True,1786654015,2026-08-13T20:46:55Z,,,,24.7900,30.7900,29.8800,767.4400,0,41.4856,17213.5811
True,1786654016,2026-08-13T20:46:56Z,,,,24.7900,30.8000,29.8700,767.4600,0,41.4752,17208.7500
True,1786654017,2026-08-13T20:46:57Z,,,,24.7900,30.8100,29.8800,767.4200,0,41.5125,17225.4116
True,1786654018,2026-08-13T20:46:58Z,,,,24.8000,30.8000,29.8800,767.5400,0,41.4743,17216.9860
True,1786654019,2026-08-13T20:46:59Z,,,,24.7900,30.8200,29.8800,767.4600,0,41.5260,17230.1853
True,1786654020,2026-08-13T20:47:00Z,,,,24.7900,30.8000,29.8900,767.3200,0,41.5229,17232.0760
True,1786654021,2026-08-13T20:47:01Z,,,,24.7900,30.8200,29.8700,767.3400,0,41.5021,17222.8563
True,1786654022,2026-08-13T20:47:02Z,,,,24.8000,30.8400,29.8800,767.4600,0,41.5281,17241.5592
True,1786654023,2026-08-13T20:47:03Z,,,,24.7900,30.8100,29.8700,767.6000,0,41.4887,17211.2397
True,1786654024,2026-08-13T20:47:04Z,,,,24.7900,30.8200,29.8700,767.4400,0,41.5021,17220.5735
True,1786654025,2026-08-13T20:47:05Z,,,,24.7900,30.8000,29.8700,767.4400,0,41.4752,17209.2062
True,1786654026,2026-08-13T20:47:06Z,,,,24.7900,30.8100,29.8700,767.4000,0,41.4887,17215.8026
True,1786654027,2026-08-13T20:47:07Z,,,,24.7900,30.8000,29.8800,767.4600,0,41.4990,17218.8116
True,1786654028,2026-08-13T20:47:08Z,,,,24.7900,30.8500,29.8700,767.4200,0,41.5425,17238.0818
True,1786654029,2026-08-13T20:47:09Z,,,,24.7900,30.8500,29.8700,767.3400,0,41.5425,17239.9099
True,1786654030,2026-08-13T20:47:10Z,,,,24.7900,30.8400,29.8800,767.5200,0,41.5529,17240.1881
True,1786654031,2026-08-13T20:47:11Z,,,,24.7900,30.8400,29.8800,767.5400,0,41.5529,17239.7312
True,1786654032,2026-08-13T20:47:12Z,,,,24.7900,30.7900,29.8800,767.4000,0,41.4856,17214.4938
True,1786654033,2026-08-13T20:47:13Z,,,,24.7900,30.7700,29.8800,767.5800,0,41.4586,17199.0160
True,1786654034,2026-08-13T20:47:14Z,,,,24.7900,30.8000,29.8800,767.5000,0,41.4990,17217.8987
True,1786654035,2026-08-13T20:47:15Z,,,,24.7900,30.8600,29.8700,767.3400,0,41.5560,17245.5946
True,1786654036,2026-08-13T20:47:16Z,,,,24.7900,30.8100,29.8700,767.5400,0,41.4887,17212.6083
True,1786654037,2026-08-13T20:47:17Z,,,,24.7900,30.8100,29.8800,767.4600,0,41.5125,17224.4984
True,1786654038,2026-08-13T20:47:18Z,,,,24.7900,30.8100,29.8700,767.2800,0,41.4887,17218.5414
True,1786654039,2026-08-13T20:47:19Z,,,,24.7900,30.8000,29.8800,767.3800,0,41.4990,17220.6376
True,1786654040,2026-08-13T20:47:20Z,,,,24.7900,30.8000,29.8800,767.3800,0,41.4990,17220.6376
True,1786654041,2026-08-13T20:47:21Z,,,,24.7900,30.8000,29.8900,767.4600,0,41.5229,17228.8784
True,1786654042,2026-08-13T20:47:22Z,,,,24.7900,30.7900,29.8800,767.3400,0,41.4856,17215.8630
True,1786654043,2026-08-13T20:47:23Z,,,,24.7900,30.7800,29.8800,767.5400,0,41.4721,17205.6138
True,1786654044,2026-08-13T20:47:24Z,,,,24.7900,30.7900,29.8800,767.3800,0,41.4856,17214.9502
True,1786654045,2026-08-13T20:47:25Z,,,,24.7900,30.8000,29.8800,767.3800,0,41.4990,17220.6376
True,1786654046,2026-08-13T20:47:26Z,,,,24.7900,30.8100,29.8900,767.3400,0,41.5364,17237.3102
True,1786654047,2026-08-13T20:47:27Z,,,,24.7900,30.7900,29.8800,767.3200,0,41.4856,17216.3195
True,1786654048,2026-08-13T20:47:28Z,,,,24.7900,30.7800,29.8900,767.4000,0,41.4959,17218.8675
True,1786654049,2026-08-13T20:47:29Z,,,,24.7900,30.8000,29.8800,767.3200,0,41.4990,17222.0073
True,1786654050,2026-08-13T20:47:30Z,,,,24.7900,30.8000,29.8800,767.3200,0,41.4990,17222.0073
True,1786654051,2026-08-13T20:47:31Z,,,,24.7900,30.7800,29.8900,767.4800,0,41.4959,17217.0418
True,1786654052,2026-08-13T20:47:32Z,,,,24.7900,30.7800,29.8800,767.5800,0,41.4721,17204.7017
True,1786654053,2026-08-13T20:47:33Z,,,,24.7900,30.8100,29.8900,767.5600,0,41.5364,17232.2845
True,1786654054,2026-08-13T20:47:34Z,,,,24.7900,30.8000,29.8900,767.5200,0,41.5229,17227.5083
True,1786654055,2026-08-13T20:47:35Z,,,,24.7900,30.7900,29.8900,767.3800,0,41.5094,17225.0147
True,1786654056,2026-08-13T20:47:36Z,,,,24.7900,30.7600,29.8800,767.5200,0,41.4451,17194.6975
True,1786654057,2026-08-13T20:47:37Z,,,,24.7900,30.8200,29.8800,767.3800,0,41.5260,17232.0125
True,1786654058,2026-08-13T20:47:38Z,,,,24.7900,30.8500,29.8900,767.4400,0,41.5903,17257.7875
True,1786654059,2026-08-13T20:47:39Z,,,,24.7900,30.8400,29.8900,767.5200,0,41.5768,17250.2676
True,1786654060,2026-08-13T20:47:40Z,,,,24.7900,30.8100,29.8900,767.4000,0,41.5364,17235.9393
True,1786654061,2026-08-13T20:47:41Z,,,,24.7900,30.8200,29.8800,767.2800,0,41.5260,17234.2970
True,1786654062,2026-08-13T20:47:42Z,,,,24.7900,30.8500,29.8800,767.4400,0,41.5664,17247.7035
True,1786654063,2026-08-13T20:47:43Z,,,,24.7900,30.8600,29.8900,767.4800,0,41.6038,17262.5629
True,1786654064,2026-08-13T20:47:44Z,,,,24.7900,30.8500,29.8800,767.3600,0,41.5664,17249.5327
True,1786654065,2026-08-13T20:47:45Z,,,,24.7900,30.8500,29.8900,767.5200,0,41.5903,17255.9576
True,1786654066,2026-08-13T20:47:46Z,,,,24.7900,30.8400,29.8800,767.4000,0,41.5529,17242.9305
True,1786654067,2026-08-13T20:47:47Z,,,,24.7900,30.8800,29.8900,767.3400,0,41.6307,17277.1498
True,1786654068,2026-08-13T20:47:48Z,,,,24.7900,30.8500,29.8800,767.4200,0,41.5664,17248.1608
True,1786654069,2026-08-13T20:47:49Z,,,,24.7900,30.8700,29.8800,767.4600,0,41.5933,17258.6206
True,1786654070,2026-08-13T20:47:50Z,,,,24.7900,30.8200,29.8900,767.3800,0,41.5498,17242.0871
True,1786654071,2026-08-13T20:47:51Z,,,,24.7900,30.8600,29.8800,767.6000,0,41.5799,17249.7324
True,1786654072,2026-08-13T20:47:52Z,,,,24.7900,30.8500,29.8900,767.3400,0,41.5903,17260.0753
True,1786654073,2026-08-13T20:47:53Z,,,,24.7900,30.8500,29.8900,767.3600,0,41.5903,17259.6177
True,1786654074,2026-08-13T20:47:54Z,,,,24.7900,30.8400,29.8900,767.3800,0,41.5768,17253.4691
False,1786654075,2026-08-13T20:47:55Z,,,,0.0000,0.0000,0.0000,0.0000,0,0.0000,nan
False,1786654076,2026-08-13T20:47:56Z,,,,0.0000,0.0000,0.0000,0.0000,0,0.0000,nan
False,1786654077,2026-08-13T20:47:57Z,,,,0.0000,0.0000,0.0000,0.0000,0,0.0000,nan
False,1786654078,2026-08-13T20:47:58Z,,,,0.0000,0.0000,0.0000,0.0000,0,0.0000,nan
False,1786654079,2026-08-13T20:47:59Z,,,,0.0000,0.0000,0.0000,0.0000,0,0.0000,nan
False,1786654080,2026-08-13T20:48:00Z,,,,0.0000,0.0000,0.0000,0.0000,0,0.0000,nan
True,1786654081,2026-08-13T20:48:01Z,,,,24.2800,44.9100,23.9700,767.4600,0,44.0822,17750.1897
True,1786654082,2026-08-13T20:48:02Z,,,,24.2900,44.8300,24.0200,767.7800,0,44.1096,17764.7215
True,1786654083,2026-08-13T20:48:03Z,,,,24.2900,44.7500,24.0400,767.7000,0,44.0838,17756.0328
True,1786654084,2026-08-13T20:48:04Z,,,,24.2900,44.6500,24.0400,767.6400,0,43.9853,17717.0608
True,1786654085,2026-08-13T20:48:05Z,,,,24.3000,44.6300,24.0500,767.4400,0,43.9656,17724.5108
True,1786654086,2026-08-13T20:48:06Z,,,,24.3000,44.6500,24.0600,767.6000,0,44.0117,17739.6710
True,1786654087,2026-08-13T20:48:07Z,,,,24.3000,44.6300,24.0600,767.7000,0,43.9920,17729.2334
True,1786654088,2026-08-13T20:48:08Z,,,,24.3000,44.6300,24.0700,767.6800,0,44.0184,17740.5414
True,1786654089,2026-08-13T20:48:09Z,,,,24.3000,44.6300,24.0700,767.6400,0,44.0184,17741.4823
True,1786654090,2026-08-13T20:48:10Z,,,,24.3100,44.5900,24.0900,767.5800,0,44.0054,17748.3861
True,1786654091,2026-08-13T20:48:11Z,,,,24.3100,44.6100,24.0900,767.6400,0,44.0252,17755.0756
True,1786654092,2026-08-13T20:48:12Z,,,,24.3100,44.5800,24.1000,767.5800,0,44.0220,17755.1797
True,1786654093,2026-08-13T20:48:13Z,,,,24.3100,44.5900,24.1100,767.5200,0,44.0583,17771.5001
True,1786654094,2026-08-13T20:48:14Z,,,,24.3100,44.5900,24.0900,767.5000,0,44.0054,17750.2689
True,1786654095,2026-08-13T20:48:15Z,,,,24.3100,44.5600,24.1000,767.5600,0,44.0022,17747.5434
True,1786654096,2026-08-13T20:48:16Z,,,,24.3100,44.6300,24.1000,767.5800,0,44.0714,17775.4475
True,1786654097,2026-08-13T20:48:17Z,,,,24.3100,44.5200,24.1200,767.6000,0,44.0155,17752.0653
True,1786654098,2026-08-13T20:48:18Z,,,,24.3200,44.5400,24.1100,767.5400,0,43.9825,17750.7479
True,1786654099,2026-08-13T20:48:19Z,,,,24.3200,44.5200,24.1200,767.4600,0,43.9892,17755.3611
True,1786654100,2026-08-13T20:48:20Z,,,,24.3200,44.5200,24.1200,767.5200,0,43.9892,17753.9485
True,1786654101,2026-08-13T20:48:21Z,,,,24.3200,44.3400,24.2000,767.4600,0,44.0221,17768.8981
True,1786654102,2026-08-13T20:48:22Z,,,,24.3200,43.8300,24.4200,767.6400,0,44.0934,17793.9106
True,1786654103,2026-08-13T20:48:23Z,,,,24.3200,42.7500,24.8600,767.6200,0,44.1531,17818.9401
True,1786654104,2026-08-13T20:48:24Z,,,,24.3200,41.7900,25.2200,767.4600,0,44.0977,17799.9535
True,1786654105,2026-08-13T20:48:25Z,,,,24.3200,40.5200,25.7500,767.5800,0,44.1251,17808.3584
True,1786654106,2026-08-13T20:48:26Z,,,,24.3400,39.5900,26.1200,767.5400,0,44.0142,17785.4565
True,1786654107,2026-08-13T20:48:27Z,,,,24.3200,38.5000,26.6000,767.5400,0,44.0849,17792.7793
True,1786654108,2026-08-13T20:48:28Z,,,,24.3200,37.5900,27.0000,767.7200,0,44.0674,17781.3569
True,1786654109,2026-08-13T20:48:29Z,,,,24.3400,36.9000,27.2900,767.5400,0,43.9479,17758.1747
True,1786654110,2026-08-13T20:48:30Z,,,,24.3200,36.1500,27.6400,767.5000,0,43.9982,17758.1287
True,1786654111,2026-08-13T20:48:31Z,,,,24.3400,35.6100,27.8700,767.5800,0,43.8743,17726.9636
True,1786654112,2026-08-13T20:48:32Z,,,,24.3400,35.1500,28.1200,767.5800,0,43.9432,17755.2789
True,1786654113,2026-08-13T20:48:33Z,,,,24.3400,34.7700,28.3000,767.6000,0,43.9258,17747.6498
True,1786654114,2026-08-13T20:48:34Z,,,,24.3400,34.4900,28.4400,767.5200,0,43.9280,17750.4480
True,1786654115,2026-08-13T20:48:35Z,,,,24.3400,34.1300,28.6000,767.5800,0,43.8751,17727.2884
True,1786654116,2026-08-13T20:48:36Z,,,,24.3400,34.0000,28.6800,767.6400,0,43.9112,17740.7417
True,1786654117,2026-08-13T20:48:37Z,,,,24.3400,33.7900,28.7800,767.5600,0,43.8937,17735.4058
True,1786654118,2026-08-13T20:48:38Z,,,,24.3200,33.6100,28.8700,767.6200,0,43.9407,17731.6714
True,1786654119,2026-08-13T20:48:39Z,,,,24.3400,33.5000,28.9300,767.5200,0,43.8966,17737.5396
True,1786654120,2026-08-13T20:48:40Z,,,,24.3400,33.3600,29.0000,767.5800,0,43.8905,17733.6385
True,1786654121,2026-08-13T20:48:41Z,,,,24.3400,33.3100,29.0300,767.5000,0,43.9009,17739.7638
True,1786654122,2026-08-13T20:48:42Z,,,,24.3400,33.2000,29.0900,767.5400,0,43.9079,17741.7314
True,1786654123,2026-08-13T20:48:43Z,,,,24.3500,33.1500,29.1200,767.6000,0,43.8916,17744.4133
True,1786654124,2026-08-13T20:48:44Z,,,,24.3500,33.0600,29.1700,767.5200,0,43.8990,17749.3709
True,1786654125,2026-08-13T20:48:45Z,,,,24.3500,33.0000,29.2000,767.5600,0,43.8954,17746.9172
True,1786654126,2026-08-13T20:48:46Z,,,,24.3400,32.9000,29.2500,767.6600,0,43.9152,17741.8960
True,1786654127,2026-08-13T20:48:47Z,,,,24.3500,32.8400,29.2800,767.7000,0,43.8848,17739.2650
True,1786654128,2026-08-13T20:48:48Z,,,,24.3500,32.8100,29.3000,767.5400,0,43.8953,17747.3693
True,1786654129,2026-08-13T20:48:49Z,,,,24.3500,32.7700,29.3100,767.5800,0,43.8671,17734.8220
