Instrument:,LPC,Measurement End Time:,"06/27/2024, 09:40:20",LASP Optical Particle Counter on Strateole 2 Super Pressure Balloons
GPS Position at start of Measurement ,Latitude: ,68.09,Longitude: ,20.65,Altitude [m]:,14112.70
Time,Pump1_I,Pump2_I,PHA_I,PHA_12V,PHA_3V3,CPU_V,Input_V,Flow,Pump1_PWM,Pump2_PWM,Pump1_T,Pump2_T,Laser_T,PCB_T,Inlet_T,275,300,325,350,375,400,450,500,550,600,650,700,750,800,900,1000,1200,1400,1600,1800,2000,2500,3000,3500,4000,6000,8000,10000,13000,16000,24000,24000
[unix_time],[mA],[mA],[mA],[V],[V],[V],[V],[SLPM],[#],[#],[C],[C],[C],[C],[C],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm]
1719481221.0,117.0,124.0,458.0,11.88,3.316,4.98,14.821,2.364,134.0,133.0,26.850000000000023,25.850000000000023,19.850000000000023,31.850000000000023,-30.149999999999977,6425.0,125.0,63.0,43.0,26.0,18.0,42.0,23.0,34.0,24.0,16.0,10.0,15.0,13.0,17.0,6.0,7.0,11.0,4.0,7.0,2.0,7.0,2.0,7.0,6.0,22.0,19.0,9.0,2.0,0.0,30.0,0.0
1719481222.0,117.0,124.0,458.0,11.875,3.316,4.978,14.832,2.351,135.0,131.0,25.850000000000023,25.850000000000023,20.850000000000023,31.850000000000023,-31.149999999999977,6425.0,190.0,68.0,36.0,24.0,26.0,47.0,23.0,26.0,19.0,22.0,15.0,7.0,14.0,21.0,7.0,8.0,7.0,4.0,4.0,2.0,6.0,11.0,19.0,16.0,35.0,18.0,25.0,4.0,6.0,34.0,0.0
1719481223.0,109.0,117.0,458.0,11.88,3.32,4.976,14.821,2.363,132.0,130.0,26.850000000000023,25.850000000000023,19.850000000000023,31.850000000000023,-30.149999999999977,6425.0,49.0,55.0,27.0,33.0,22.0,26.0,16.0,16.0,12.0,16.0,6.0,3.0,2.0,7.0,3.0,1287.0,21369.0,1.0,2.0,1.0,2.0,3.0,2.0,5.0,7.0,5.0,3.0,1.0,0.0,7.0,0.0
1719481223.0,117.0,131.0,458.0,11.87,3.318,4.978,14.838,2.364,133.0,130.0,25.850000000000023,25.850000000000023,19.850000000000023,31.850000000000023,-31.149999999999977,6425.0,25.0,53.0,32.0,28.0,17.0,31.0,31.0,19.0,10.0,3.0,4.0,5.0,3.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
1719481225.0,109.0,109.0,459.0,11.87,3.315,4.978,14.832,2.393,131.0,129.0,25.850000000000023,25.850000000000023,20.850000000000023,31.850000000000023,-31.149999999999977,6425.0,20.0,54.0,24.0,16.0,15.0,29.0,28.0,18.0,8.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
1719481227.0,109.0,117.0,458.0,11.875,3.318,4.978,14.832,2.39,129.0,127.0,25.850000000000023,25.850000000000023,19.850000000000023,31.850000000000023,-31.149999999999977,6425.0,112.0,54.0,31.0,31.0,17.0,40.0,22.0,14.0,11.0,17.0,8.0,2.0,3.0,14.0,8.0,10.0,2.0,6.0,2.0,1.0,6.0,4.0,10.0,15.0,22.0,13.0,11.0,8.0,3.0,13.0,0.0
1719481230.0,109.0,102.0,458.0,11.87,3.318,4.976,14.838,2.383,127.0,129.0,26.850000000000023,25.850000000000023,19.850000000000023,31.850000000000023,-30.149999999999977,6425.0,39.0,52.0,38.0,27.0,23.0,37.0,27.0,11.0,15.0,10.0,6.0,6.0,1.0,5.0,1.0,2.0,4.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,13.0,6.0,2.0,1.0,0.0,3.0,0.0
1719481232.0,109.0,109.0,458.0,11.87,3.318,4.978,14.832,2.39,127.0,129.0,25.850000000000023,25.850000000000023,20.850000000000023,31.850000000000023,-31.149999999999977,6425.0,24.0,45.0,31.0,33.0,19.0,29.0,24.0,10.0,10.0,5.0,5.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0
1719481233.0,102.0,109.0,458.0,11.87,3.315,4.978,14.849,2.41,129.0,127.0,26.850000000000023,25.850000000000023,19.850000000000023,31.850000000000023,-30.149999999999977,6425.0,30.0,37.0,32.0,20.0,21.0,43.0,23.0,15.0,11.0,9.0,1.0,0.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
