Instrument:,RS41,Measurement End Time:,"06/27/2024, 09:50:32",NCAR RS41 sensor on Strateole 2 Super Pressure Balloons
valid,unix_time,air_temp_degC,humdity_percent,humidity_sensor_temp,pres_mb,module_error,rs41_rh_percent,wv_mixing_ratio_ppmv
1,1719481533,-39.62,32.63,-34.55,295.08,0,54.3199525985818,364.46715119604426
1,1719481534,-39.57,32.4,-34.459999999999994,295.6,0,54.136290808312694,364.4662845299258
1,1719481535,-39.55,32.95,-34.66,296.1,0,53.873763472237314,362.83151312309053
1,1719481536,-39.5,33.43,-34.709999999999994,296.44,0,54.111646837268324,365.8932564229705
1,1719481537,-39.28,34.02,-34.81999999999999,297.2,0,53.25696917058671,367.40211523104523
1,1719481538,-39.5,34.88,-35.260000000000005,297.6,0,53.47936584042409,360.20630583937213
1,1719481539,-39.75,35.72,-35.56999999999999,298.04,0,54.49709954566787,357.2068845411107
1,1719481540,-39.44,36.74,-35.69,298.56,0,53.65118815014761,362.4306648500166
1,1719481541,-39.71,37.56,-35.89,298.88,0,55.2845882666524,362.8444953996856
1,1719481542,-39.66,38.52,-36.05,299.5,0,55.51574988371721,365.4855797365314
1,1719481543,-39.53,39.16,-36.03,299.9,0,55.79913605152472,371.8042393745088
1,1719481544,-39.44,39.81,-35.94,300.5,0,56.70843301787784,380.61708555738414
1,1719481545,-39.16,40.18,-35.69,300.92,0,57.01269172705311,393.26896293277434
1,1719481546,-38.96,40.18,-35.42,301.42,0,57.37171003713559,403.2667730196523
1,1719481547,-38.28,39.79,-34.709999999999994,301.96,0,56.854648479391166,427.5689217161463
1,1719481548,-38.12,39.11,-34.19,302.36,0,57.85927217242583,441.67388881060765
1,1719481549,-38.12,37.95,-33.56999999999999,302.88,0,59.644257749507446,454.5238905409796
1,1719481550,-38.25,37.15,-33.41,303.26,0,60.090315423307096,451.3498617060731
1,1719481551,-38.28,36.34,-33.3,303.9,0,59.59272954646535,445.3073329572163
1,1719481552,-38.01,35.72,-33.099999999999994,304.36,0,58.10833157741149,445.6064521728115
1,1719481553,-37.98,35.31,-33.06999999999999,304.78,0,57.43358001353238,441.1627760266829
1,1719481554,-37.98,34.93,-33.06999999999999,305.26,0,56.81548994258526,435.726460069941
1,1719481555,-37.96,34.77,-33.16,305.76,0,55.95072453521871,429.25918203440824
1,1719481556,-37.76,34.63,-33.16,306.2,0,54.60844142132258,426.91543851370454
1,1719481557,-37.67,34.68,-33.3,306.54,0,53.46106971020883,421.29580632921346
1,1719481558,-37.57,34.83,-33.3,307.16,0,53.152661568303486,422.26436850634815
1,1719481559,-37.39,34.95,-33.28,307.72,0,52.477761019835675,423.7703941117429
1,1719481560,-37.44,35.15,-33.42,308.14,0,52.328625816205644,419.8665578498894
1,1719481561,-37.3,35.47,-33.5,308.72,0,51.661961224287566,419.6174546244788
1,1719481562,-37.07,35.65,-33.480000000000004,309.14,0,50.835187368388276,421.9946252770733
1,1719481563,-37.12,35.79,-33.55,309.7,0,50.944015939182144,420.01618230322015
1,1719481564,-36.84,35.61,-33.39,310.28,0,50.054967826961594,423.66201997355796
1,1719481565,-36.76,35.22,-33.260000000000005,310.66,0,49.735008128836455,423.82436450089483
1,1719481566,-36.82,34.4,-33.16,311.14,0,49.34628891688351,417.34286673539685
1,1719481567,-36.71,34.0,-33.0,311.76,0,48.99115044518788,418.09916192446985
1,1719481568,-36.66,33.74,-32.92,312.3,0,48.74955462822083,417.4023384312845
1,1719481569,-36.55,33.63,-32.709999999999994,312.78,0,49.043775599245386,423.92029803301034
1,1719481570,-36.66,34.06,-32.69,313.26,0,50.317638272910905,429.5134541963263
1,1719481571,-36.46,34.61,-32.56999999999999,313.8,0,50.7009612718644,440.77538951164564
1,1719481572,-36.26,34.66,-32.31999999999999,314.14,0,50.983089276128894,451.6825405060603
1,1719481573,-36.12,34.68,-32.03,314.64,0,51.72654737279153,463.9763095484997
1,1719481574,-36.07,34.58,-31.900000000000006,315.04,0,51.96481091236967,467.84731482779864
1,1719481575,-35.92,34.4,-31.810000000000002,315.66,0,51.369401633712364,468.5191982392845
1,1719481576,-35.92,34.4,-31.879999999999995,316.04,0,51.02620535381177,464.8277567218171
1,1719481577,-35.870000000000005,34.4,-31.900000000000006,316.7,0,50.67603206055703,462.9702804917435
1,1719481578,-35.870000000000005,34.54,-31.959999999999994,317.2,0,50.590527432286905,461.45987830447075
1,1719481579,-35.980000000000004,34.63,-32.05,317.52,0,50.839467074107525,458.22237441383555
1,1719481580,-35.959999999999994,34.86,-32.099999999999994,318.18,0,50.830926357420445,458.10549823383036
1,1719481581,-35.89,34.77,-32.06999999999999,318.62,0,50.493205422940825,457.6072075519239
1,1719481582,-35.78,34.68,-31.97,319.14,0,50.29522501848436,460.0718809911685
1,1719481583,-35.69,34.52,-31.879999999999995,319.56,0,50.047754106467046,461.309620197748
1,1719481584,-35.55,34.27,-31.739999999999995,320.16,0,49.66151791416603,463.2790164894515
1,1719481585,-35.44,33.74,-31.549999999999997,320.78,0,49.250113130795775,463.5760611521381
1,1719481586,-35.370000000000005,33.4,-31.430000000000007,321.16,0,48.97504834678173,463.64199341882613
1,1719481587,-35.28,32.97,-31.269999999999996,321.78,0,48.65266810764884,463.81194054838807
1,1719481588,-35.209999999999994,32.7,-31.159999999999997,322.14,0,48.426177910500634,464.33763072436915
1,1719481589,-35.120000000000005,32.56,-31.060000000000002,322.76,0,48.249045833248644,465.87263773920824
1,1719481590,-35.05,32.43,-30.989999999999995,323.12,0,48.04425117982897,466.5900115970408
1,1719481591,-34.980000000000004,32.33,-30.89,323.7,0,48.020583607633974,468.7496259600017
1,1719481592,-34.89,32.27,-30.819999999999993,324.26,0,47.82497544110315,470.18542837676415
1,1719481593,-34.81999999999999,32.25,-30.799999999999997,324.7,0,47.557222783781235,470.1483843482497
1,1719481594,-34.730000000000004,32.18,-30.72,325.26,0,47.39383521375925,471.8869564200504
1,1719481595,-34.69,32.27,-30.629999999999995,325.7,0,47.74523509913722,476.6165177340767
1,1719481596,-34.620000000000005,32.68,-30.61,326.24,0,48.11142259858611,482.7896276684182
1,1719481597,-34.349999999999994,33.0,-30.290000000000006,326.76,0,48.765790853417904,501.7027382873008
1,1719481598,-34.19,32.74,-29.86,327.26,0,49.5989728355918,517.5483620218663
1,1719481599,-34.14,32.43,-29.61,327.72,0,50.0513597800007,524.0964485578808
1,1719481600,-34.06999999999999,32.27,-29.409999999999997,328.1,0,50.4008982941813,530.7689889809237
1,1719481601,-34.03,32.15,-29.230000000000004,328.68,0,50.86727682264046,536.8326734518989
1,1719481602,-33.959999999999994,32.24,-29.049999999999997,329.22,0,51.521336180466214,546.572990903799
1,1719481603,-33.92,32.45,-28.959999999999994,329.72,0,52.09048185458911,553.9357860658967
1,1719481604,-33.78,32.56,-28.75,330.34,0,52.57709858336425,565.740911053911
1,1719481605,-33.75,32.63,-28.700000000000003,330.8,0,52.78137184189276,568.8116754743428
1,1719481606,-33.75,33.16,-28.939999999999998,331.28,0,52.45269513974428,564.4481135620275
1,1719481607,-33.69,33.86,-29.11,331.82,0,52.409576177217545,566.3684209293245
1,1719481608,-33.64,34.83,-29.239999999999995,332.44,0,53.001234471541345,574.4889331374322
1,1719481609,-33.53,35.36,-29.14,332.84,0,53.73482806823283,588.0085276003817
1,1719481610,-33.44,35.88,-29.019999999999996,333.5,0,54.65914907538861,602.1937408583707
1,1719481611,-33.260000000000005,36.02,-28.819999999999993,334.0,0,54.936789590931625,615.0093279623707
1,1719481612,-33.209999999999994,36.15,-28.689999999999998,334.44,0,55.53648513678644,623.9288646772515
1,1719481613,-33.120000000000005,36.4,-28.569999999999993,335.1,0,56.05697751120579,634.0494844947161
1,1719481614,-33.06999999999999,36.81,-28.489999999999995,335.4,0,56.83540654589402,645.4047741679016
1,1719481615,-32.959999999999994,37.59,-28.299999999999997,336.04,0,58.446588799263964,669.5439234731384
1,1719481616,-32.980000000000004,38.24,-28.33,336.42,0,59.40689791027789,678.4680738582161
1,1719481617,-32.89,39.25,-28.560000000000002,336.98,0,59.17030991366102,680.5430066545392
1,1719481618,-32.8,40.22,-28.790000000000006,337.62,0,58.834931351516005,681.3037174462914
1,1719481619,-32.709999999999994,40.95,-28.900000000000006,338.22,0,58.7788599947589,685.3804007505506
1,1719481620,-32.599999999999994,41.65,-28.959999999999994,338.78,0,58.822486758149175,692.0655107661181
1,1719481621,-32.510000000000005,41.93,-28.909999999999997,339.22,0,58.980830357907564,699.0713547818672
1,1719481622,-32.41,42.15,-28.819999999999993,339.76,0,59.2166788844009,707.5382945335639
1,1719481623,-32.41,42.25,-28.709999999999994,340.38,0,59.96827069537534,715.2188899672848
1,1719481624,-32.370000000000005,42.31,-28.629999999999995,340.88,0,60.269602735404135,720.5306929463023
1,1719481625,-32.3,42.34,-28.480000000000004,341.34,0,60.74859501066007,730.1855770640095
1,1719481626,-32.25,42.25,-28.36,341.88,0,61.00452616477325,735.6353357663918
1,1719481627,-32.17,42.02,-28.159999999999997,342.42,0,61.33440787872807,744.1512786489104
1,1719481628,-32.099999999999994,41.5,-27.849999999999994,342.88,0,61.919532983055944,755.310485215035
1,1719481629,-32.05,40.74,-27.709999999999994,343.44,0,61.28132235384045,749.8920206734696
1,1719481630,-31.959999999999994,40.38,-27.459999999999994,343.96,0,61.62083914698594,759.440568498587
1,1719481631,-31.86,40.09,-27.28,344.5,0,61.606135543666305,765.3724423910272
1,1719481632,-31.78,39.66,-27.189999999999998,345.1,0,60.98231245183447,762.1175479676398
1,1719481633,-31.709999999999994,39.43,-27.060000000000002,345.6,0,60.946571122710004,765.6824528100392
1,1719481634,-31.61,39.11,-26.950000000000003,346.2,0,60.4834698914599,765.834145860885
1,1719481635,-31.519999999999996,38.95,-26.909999999999997,346.66,0,59.93961118467078,764.4835354521749
1,1719481636,-31.439999999999998,38.68,-26.83,347.1,0,59.50551379311272,763.7940707036266
